casenum,year,citevol,beginpage,endopin,endpage,decisiondate,docketnum,multdoc,source,origin,method,treatment,initiator,intervenor,applfrom,classaction,crossapp,amicus,circuit,opinionstatus,state,district,districtjudgeid,adminreview,priorpub,sanctions,numappel,appnatpr,appbus,appnonp,appfed,appsubst,alst_code,appstate,astate_code,appfiduc,afirms,aatty,aattyfirstname,aattylastname,afirmname,aamicusbriefs,agroups,afirstlistedamicusgroup,genappel1,appel1,bank_ap1,genappel2,appel2,bank_ap2,realapplnts,acounsel1,numresp,r_natpr,r_bus,r_nonp,r_fed,r_appsubst,rlst_code,r_state,statecode,rfiduc,rfirms,ratty,rattyfirstname,rattylastname,rfirmname,ramicusbrfs,rgroups,rnameoffirstlistedamicusgroup,genresp1,respond1,bank_r1,genresp2,respond2,bank_r2,realrespondants,rcounselcode,isstyp,genissue,casetype1,direct1,casetype2,direct2,majvotes,dissent,concur,dmbasis,cmbasis,cmbasis2,dpbasis,cpbasis,cpbasis2,habes,decon,constit,fedlaw,fedlaw2,procedure,keynotes,constnote1,constnote2,uscnote1,uscsec1,uscnote2,uscsec2,civproc1,civproc2,crmproc1,crmproc2,threshgen,turnthresh,juris,stateclaim,standing,mootness,exhaust,timely,immunity,frivol,polquest,otherres,late,frivapp,otherapp,typeissue,prejud,insane,improper,justyinst,othjury,deathpen,sentence,indict,confess,search,othadmis,plea,inadqecounsel,rtcouns,suffic,indigent,entrap,procdis,othercrim,dueproc,execord,stpolicy,weightev,pretrial,trialpro,posttrial,attyfee,judgdisc,altdisp,injunct,summary,fedvst,foreign,intlaw,stvst,discover,othercivil,subevid,denovo,capricious,erroneous,abusediscr,judreview,genstd,notice,alj,agencyacq,freeinfo,comment,record,diverse,whichlaw,j1,j2,j2vote1,j2vote2,j2maj1,j2maj2,j3,j3vote1,j3vote2,j3maj1,j3maj2,j4,j4vote1,j4vote2,j4maj1,j4maj2,j5,j5vote1,j5vote2,j5maj1,j5maj2,j6,j6vote1,j6vote2,j6maj1,j6maj2,j7,j7vote1,j7vote2,j7maj1,j7maj2,j8,j8vote1,j8vote2,j8maj1,j8maj2,j9,j9vote1,j9vote2,j9maj1,j9maj2,j10,j10vote1,j10vote2,j10maj1,j10maj2,j11,j11vote1,j11vote2,j11maj1,j11maj2,j13,j13vote1,j13vote2,j13maj1,j13maj2,j14,j14vote1,j14vote2,j14maj1,j14maj2,j15,j15vote1,j15vote2,j15maj1
20011,1997,109,62,64,64,03/26/97,96-2310,1,1,9,1,1,2,0,1,0,0,0,1,2,19,7,10109,15,,0,1,1,0,0,0,0,0,0,0,0,1,1,Timothy S,Murphy,"Gardner, Gardner, Murphy",0,0,0,7,71800,2,,,,0,4,2,0,0,0,0,2,19,0,0,0,1,3,ANDREW,Ketterer,Atty Gen Office,0,0,,5,56003,2,5,56003,2,0,5,0,1,158,1,,,3,0,0,,,,,,,1,0,0,0,1,0,2,114,,28,2253,28,2254,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,106,1,,1,,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,1997,129,20,29,29,10/28/97,96-2122,1,1,1,1,1,1,0,5,0,0,0,1,1,19,7,10109,15,937 F Supp 63,0,1,1,0,0,0,0,0,0,0,0,99,1,Seth,Berner,,0,0,0,7,71003,2,,,,0,1,1,0,0,0,0,0,0,1,19,0,2,3,Peter J,Brann,Atty Gen Office,0,0,,5,56001,2,,,,0,6,0,3,399,1,,,3,0,0,,,,,,,0,0,0,0,9,0,14,101,,42,1983,,,,,,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,114,101,1,,1,,106,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,1997,131,1073,1075,1075,12/19/97,97-1229,2,1,1,1,8,9,0,3,0,1,0,1,1,19,7,10185,15,,0,1,1,0,0,0,0,0,0,0,0,99,2,Eric,Cote,,0,0,0,7,71000,2,,,,0,4,2,2,0,0,0,0,0,0,0,0,1,2,Caroline C,Kresby,"Holland, Knight",0,0,,7,70000,2,7,70000,2,0,4,0,0,0,1,,,3,0,0,,,,,,,0,0,0,0,0,1,3,,,28,2107,,,28,59,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10103,120,1,,1,,106,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,1997,108,425,429,429,03/13/97,96-1691,2,1,1,1,5,1,0,1,0,1,0,1,1,52,7,99999,15,,0,2,2,0,0,0,0,0,0,0,0,1,1,Eric M,Quetglas Jordan,Quetglas Law Offices,0,0,0,7,71803,2,7,73803,2,0,4,1,0,1,0,0,0,0,0,0,0,1,2,Hector F,Oliveras Delgado,"Pinto, Lugo, Rivera",0,0,,1,11906,2,,,,0,4,0,7,727,1,,,3,0,0,,,,,,,0,0,0,0,0,0,6,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,114,1,,1,,10103,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,1997,111,184,192,192,04/16/97,96-1894,1,1,1,1,4,1,0,3,0,0,0,1,1,52,7,10197,15,928 F Supp141,0,1,1,0,0,0,0,0,0,0,0,99,2,David,Efron,,0,0,0,7,73800,2,,,,0,4,2,0,2,0,0,0,0,0,0,0,1,1,Elisa M,Figuera Baez,Law Ofices of Sigrid Lopez Gonzale,0,0,,1,11901,2,1,14702,2,2,4,0,7,726,3,,,3,0,0,,,,,,,0,0,0,0,0,9,12,,,28,1332,,,56,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,114,115,3,,1,,107,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,1997,129,209,213,213,11/07/97,96-1954,1,1,1,1,1,1,0,5,0,0,0,1,1,19,7,20300,15,,0,1,1,0,0,0,0,0,0,0,0,1,2,Paula House,Mc Faul,Mc Faul Eisenhart,0,0,0,7,71000,2,,,,0,4,2,0,0,0,0,0,0,2,19,0,1,3,James D,Williams III,Atty Gen Office,0,0,,5,53004,2,5,53004,2,0,6,0,4,499,2,239,1,3,0,0,,,,,,,0,0,0,0,1,0,7,114,,42,1983,,,,,,0,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,812,2,1,1,1,20300,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,1997,104,519,524,524,01/23/97,95-1271,2,1,1,1,1,2,0,1,0,0,0,1,1,21,7,10189,15,,0,2,2,0,0,0,0,0,0,0,0,1,2,Stephen,Hrones,Hrones Garrity,0,0,0,7,71002,2,7,71005,2,0,2,1,0,0,0,1,0,0,0,0,0,1,3,Thimothy,Q Feely,US Atty,0,0,,3,3900,2,,,,0,5,0,1,108,1,116,1,3,0,0,,,,,,,0,0,0,0,0,1,3,,,18,371,18,1956,,,804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,118,1,,1,,121,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,1997,116,7,10,10,06/02/97,96-2211,1,1,1,1,1,2,0,7,0,0,0,1,1,52,7,10110,15,,0,2,0,0,2,0,0,0,0,0,0,2,2,David R,Jury,Cooper Mitch Grawford Kuykendall Whatley,0,0,0,2,21009,2,2,21010,2,0,4,1,0,1,0,0,0,0,0,0,0,1,2,Louis D,Abreau,Goldman Antoneth Cordova,0,0,,1,12903,2,,,,0,4,0,6,605,1,,,3,0,0,,,,,,,0,0,0,0,0,0,4,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,120,1,,1,,122,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,1997,105,17,24,24,01/23/97,95-2050,1,1,1,1,1,1,0,3,0,0,0,1,1,52,7,10144,15,,0,1,1,0,0,0,0,0,0,0,0,1,1,Antonio,Jimerez Miranda,,0,0,0,7,73805,2,,,,0,4,2,0,1,0,0,0,0,1,52,0,2,2,Raymond P,Burgos,Pinto Lugo Rivera,0,0,,1,12909,2,5,53009,2,0,4,0,7,724,1,,,3,0,0,,,,,,,0,0,0,0,0,1,9,,,,,,,50,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10194,106,1,1,,,107,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,1997,104,515,518,519,01/21/97,96-1785,1,1,1,1,1,1,0,3,0,0,0,1,1,21,7,10190,14,925 F Supp 83,0,1,1,0,0,0,0,0,0,0,0,1,1,Evans J,Carter,Hargraves Karb Wilcox Gavini,0,0,0,7,71000,2,,,,0,4,1,0,0,0,1,0,0,0,0,0,2,3,Susan M,Poswistilo,US Atty Office,0,0,,3,39004,2,,,,0,5,0,7,732,1,,,3,0,0,,,,,,,0,0,0,1,0,0,7,,,15,636,15,634,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,121,1,,1,,10158,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,1997,126,1,13,13,09/18/97,97-1053,1,1,1,1,1,1,0,3,0,0,0,1,1,21,7,10187,15,940 F Supp 418,0,1,0,0,0,1,0,0,0,0,0,2,4,Anne,Payen Fugett,US Dept of Labor,0,0,0,3,31011,2,,,,0,5,1,0,1,0,0,0,0,0,0,0,1,2,William J,Kilberg,Gibson Dunn Crutcher,0,0,,1,13702,2,,,,0,4,0,6,603,1,,,3,0,0,,,,,,,0,0,0,0,1,0,18,,,29,201,29,213,56,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10131,114,1,,1,,106,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,1997,106,1027,1040,1040,02/07/97,96-1052,2,1,1,1,6,2,0,6,0,0,0,1,1,21,7,10129,15,,0,1,1,0,0,0,0,0,0,0,0,99,1,Thomas V,Silvia,,0,0,0,7,71003,2,,,,0,4,1,0,0,0,1,0,0,0,0,0,1,3,Jeanne M,Kempthorne,US Atty Office,0,0,,3,39000,2,,,,0,5,0,9,902,3,773,3,3,0,0,,,,,,,0,0,1,9,9,0,17,1,110,18,228,28,3002,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,10103,3,3,1,1,120,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,1997,108,429,445,445,03/19/97,96-1224,1,1,1,1,6,2,0,1,0,0,0,1,1,19,7,99999,15,,0,3,2,1,0,0,0,0,0,0,0,1,2,David J,Kerman,Jackson Lewis Schintler Krupman,0,0,0,7,71005,2,1,13406,2,0,4,1,1,0,0,0,0,0,0,0,0,1,3,Peter B,Bickerman,Lipman Katz,0,0,,7,73005,2,,,,0,4,0,2,231,3,281,1,3,0,0,,,,,,,0,0,0,0,9,0,9,,,42,2000,42,12101,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,114,3,1,1,,10104,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,1997,121,794,803,803,04/11/97,96-2002,1,1,1,1,1,2,0,1,0,0,0,1,1,21,7,10187,15,,0,1,1,0,0,0,0,0,0,0,0,99,1,James H,Budreau,,0,0,0,7,71000,2,,,,0,4,1,0,0,0,1,0,0,0,0,0,1,2,John M,Griffin,US Atty Gen Office,0,0,,3,39000,2,,,,0,5,0,1,116,1,,,3,0,0,,,,,,,0,0,0,0,1,1,8,,,18,371,18,513,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,115,1,,1,,118,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,1997,118,10,17,17,06/27/97,96-1676,1,1,1,1,1,1,0,5,0,0,0,1,1,52,7,10122,15,,0,2,2,0,0,0,0,0,0,0,0,99,2,Foluardo M,Joglar,,0,0,0,7,71805,2,7,73805,2,0,4,2,0,0,0,0,0,0,2,52,0,1,2,John F,Naveres,Smith Nevares,0,0,,5,52002,2,5,53001,2,0,4,0,2,204,1,730,1,3,0,0,,,,,,,0,0,0,0,0,1,10,,,42,1983,,,12,59,,0,3,1,0,2,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,101,1,1,1,1,106,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
